image_number,x,y,z,roll,pith,yaw,j1,j2,j3,j4,j5,j6,j7
87,-0.564328,-0.096453,0.132514,8.40072,-0.594484,-127.646655,-0.282948,0.634409,-0.182987,-1.596527,-0.03219,0.977709,0.499191
88,-0.564093,-0.096369,0.132005,8.426424,-0.560018,-127.649755,-0.282936,0.63502,-0.182963,-1.596982,-0.03225,0.977385,0.499203
89,-0.564221,-0.096605,0.131592,8.42952,-0.618311,-127.68057,-0.282948,0.635535,-0.182975,-1.596982,-0.032837,0.975947,0.499191
90,-0.564699,-0.097332,0.131053,8.41334,-0.847141,-127.787869,-0.282924,0.635811,-0.182939,-1.596982,-0.034934,0.971824,0.499191
91,-0.565361,-0.098491,0.130459,8.393392,-1.198463,-127.951715,-0.282936,0.635847,-0.182927,-1.596994,-0.038278,0.965892,0.499155
92,-0.566174,-0.100055,0.12967,8.389234,-1.673342,-128.192866,-0.282888,0.635847,-0.182856,-1.596982,-0.043275,0.95809,0.499167
93,-0.567002,-0.10183,0.128767,8.402799,-2.206247,-128.478059,-0.282768,0.635847,-0.18282,-1.597018,-0.049195,0.94939,0.499179
94,-0.567742,-0.103509,0.127946,8.417239,-2.678377,-128.725159,-0.282804,0.635943,-0.182832,-1.597006,-0.054433,0.941624,0.499155
95,-0.568126,-0.104621,0.127306,8.444866,-2.980604,-128.897292,-0.282804,0.636123,-0.182856,-1.597078,-0.058112,0.936567,0.499143
96,-0.568216,-0.104939,0.12696,8.454517,-3.075543,-128.956958,-0.28278,0.636314,-0.182832,-1.59727,-0.059298,0.934673,0.499143
97,-0.568132,-0.104882,0.126698,8.46827,-3.051493,-128.961242,-0.282768,0.636722,-0.182796,-1.597354,-0.059286,0.934661,0.499107
98,-0.568053,-0.104868,0.126397,8.486176,-3.026118,-128.967065,-0.282768,0.637249,-0.182808,-1.597354,-0.059286,0.934661,0.499011
99,-0.567975,-0.104814,0.126052,8.504279,-2.995181,-128.975206,-0.28278,0.637836,-0.182736,-1.597366,-0.059286,0.934673,0.498927
100,-0.567925,-0.104657,0.125702,8.516857,-2.960766,-128.994636,-0.28278,0.638388,-0.182484,-1.597426,-0.059286,0.934661,0.498795
101,-0.567896,-0.104476,0.125395,8.526069,-2.926958,-129.023282,-0.28278,0.638867,-0.182172,-1.597473,-0.059286,0.934673,0.498544
102,-0.567824,-0.104295,0.12505,8.539831,-2.886792,-129.067169,-0.282756,0.639394,-0.181897,-1.597569,-0.059286,0.934685,0.498016
103,-0.567651,-0.103863,0.124492,8.561428,-2.812822,-129.1435,-0.282624,0.640137,-0.181357,-1.597917,-0.059274,0.934757,0.497201
104,-0.567551,-0.103704,0.124363,8.57157,-2.788589,-129.151096,-0.282528,0.640269,-0.18125,-1.598085,-0.059286,0.934913,0.497225
105,-0.56735,-0.103514,0.124165,8.590648,-2.749691,-129.158295,-0.28242,0.640461,-0.181166,-1.598384,-0.059298,0.935177,0.497225
